step,sched_reqs,sched_tokens,batch,num_query_tokens,sum_seq_len,num_spec_tokens,draft_ms,step_ms
499,32,1149,32,1149,34808,3,5.622784,85.444611
500,32,1149,32,1149,34745,3,5.60128,85.014526
501,32,128,32,1149,34701,3,5.64224,25.024511
502,32,128,32,128,34784,3,3.11808,24.544256
503,32,1149,32,128,34855,3,3.084288,83.11808
504,32,1149,32,1149,34774,3,5.610496,85.338112
505,32,128,32,1149,34742,3,5.641216,25.022465
506,32,1149,32,128,34830,3,3.115008,85.019646
507,32,128,32,1149,34768,3,5.732352,25.375744
508,32,1149,32,128,34848,3,3.134464,84.754433
509,32,1148,32,1149,34802,3,5.612544,84.599808
510,32,128,32,1148,34749,3,5.668864,25.056255
511,32,128,32,128,34832,3,3.131392,24.479744
512,32,128,32,128,34910,3,3.073024,24.174591
513,32,128,32,128,34981,3,3.058688,23.980032
514,32,128,32,128,35056,3,3.045376,23.934977
515,32,1149,32,128,35130,3,3.050496,83.17952
516,32,128,32,1149,35059,3,5.627904,25.020416
517,32,128,32,128,35137,3,3.117056,24.619007
518,32,128,32,128,35211,3,3.091456,24.2176
519,32,128,32,128,35286,3,3.05664,24.160255
520,32,1149,32,128,35349,3,3.067904,83.551231
521,32,1148,32,1149,35289,3,5.648384,85.172226
522,32,2170,32,1148,35217,3,5.609472,149.916672
523,32,128,32,2170,35034,3,8.403968,24.788992
524,32,1149,32,128,35108,3,3.109888,83.864578
525,32,128,32,1149,35079,3,5.640192,24.892416
526,32,128,32,128,35153,3,3.116032,24.418304
527,32,128,32,128,35234,3,3.074048,24.261633
528,32,2170,32,128,35324,3,3.062784,150.205444
529,32,128,32,2170,35146,3,8.409088,24.807425
530,32,128,32,128,35221,3,3.11296,24.466433
531,32,1149,32,128,35302,3,3.074048,83.899391
532,32,2168,32,1149,35256,3,5.62176,149.084167
